Date,Snow Water Equivalent (m) Start of Day Values,Water_Year
2016-04-11,0.0,2016
2016-04-12,0.0,2016
2016-04-13,0.0,2016
2016-04-14,0.0,2016
2016-04-15,0.0,2016
2016-04-16,0.0,2016
2016-04-17,0.0,2016
2016-04-18,0.0,2016
2016-04-19,0.0,2016
2016-04-20,0.0,2016
2016-04-21,0.0,2016
2016-04-22,0.0,2016
2016-04-23,0.0,2016
2016-04-24,0.0,2016
2016-04-25,0.0,2016
2016-04-26,0.0,2016
2016-04-27,0.0,2016
2016-04-28,0.0,2016
2016-04-29,0.0,2016
2016-04-30,0.0,2016
2016-05-01,0.0,2016
2016-05-02,0.0,2016
2016-05-03,0.0,2016
2016-05-04,0.0,2016
2016-05-05,0.0,2016
2016-05-06,0.0,2016
2016-05-07,0.0,2016
2016-05-08,0.0,2016
2016-05-09,0.0,2016
2016-05-10,0.0,2016
2016-05-11,0.0,2016
2016-05-12,0.0,2016
2016-05-13,0.0,2016
2016-05-14,0.0,2016
2016-05-15,0.0,2016
2016-05-16,0.0,2016
2016-05-17,0.0,2016
2016-05-18,0.0,2016
2016-05-19,0.0,2016
2016-05-20,0.0,2016
2016-05-21,0.0,2016
2016-05-22,0.0,2016
2016-05-23,0.0,2016
2016-05-24,0.0,2016
2016-05-25,0.0,2016
2016-05-26,0.0,2016
2016-05-27,0.0,2016
2016-05-28,0.0,2016
2016-05-29,0.0,2016
2016-05-30,0.0,2016
2016-05-31,0.0,2016
2016-06-01,0.0,2016
2016-06-02,0.0,2016
2016-06-03,0.0,2016
2016-06-04,0.0,2016
2016-06-05,0.0,2016
2016-06-06,0.0,2016
2016-06-07,0.0,2016
2016-06-08,0.0,2016
2016-06-09,0.0,2016
2016-06-10,0.0,2016
2016-06-11,0.0,2016
2016-06-12,0.0,2016
2016-06-13,0.0,2016
2016-06-14,0.0,2016
2016-06-15,0.0,2016
2016-06-16,0.0,2016
2016-06-17,0.0,2016
2016-06-18,0.0,2016
2016-06-19,0.0,2016
2016-06-20,0.0,2016
2016-06-21,0.0,2016
2016-06-22,0.0,2016
2016-06-23,0.0,2016
2016-06-24,0.0,2016
2016-06-25,0.0,2016
2016-06-26,0.0,2016
2016-06-27,0.0,2016
2016-06-28,0.0,2016
2016-06-29,0.0,2016
2016-06-30,0.0,2016
2016-07-01,0.0,2016
2016-07-02,0.0,2016
2016-07-03,0.0,2016
2016-07-04,0.0,2016
2016-07-05,0.0,2016
2016-07-06,0.0,2016
2016-07-07,0.0,2016
2016-07-08,0.0,2016
2016-07-09,0.0,2016
2016-07-10,0.0,2016
2016-07-11,0.0,2016
2016-07-12,0.0,2016
2016-07-13,0.0,2016
2016-07-14,0.0,2016
2016-07-15,0.0,2016
2016-07-16,0.0,2016
2016-07-17,0.0,2016
2016-07-18,0.0,2016
2016-07-19,0.0,2016
2016-07-20,0.0,2016
2016-07-21,0.0,2016
2016-07-22,0.0,2016
2016-07-23,0.0,2016
2016-07-24,0.0,2016
2016-07-25,0.0,2016
2016-07-26,0.0,2016
2016-07-27,0.0,2016
2016-07-28,0.0,2016
2016-07-29,0.0,2016
2016-07-30,0.0,2016
2016-07-31,0.0,2016
2016-08-01,0.0,2016
2016-08-02,0.0,2016
2016-08-03,0.0,2016
2016-08-04,0.0,2016
2016-08-05,0.0,2016
2016-08-06,0.0,2016
2016-08-07,0.0,2016
2016-08-08,0.0,2016
2016-08-09,0.0,2016
2016-08-10,0.0,2016
2016-08-11,0.0,2016
2016-08-12,0.0,2016
2016-08-13,0.0,2016
2016-08-14,0.0,2016
2016-08-15,0.0,2016
2016-08-16,0.0,2016
2016-08-17,0.0,2016
2016-08-18,0.0,2016
2016-08-19,0.0,2016
2016-08-20,0.0,2016
2016-08-21,0.0,2016
2016-08-22,0.0,2016
2016-08-23,0.0,2016
2016-08-24,0.0,2016
2016-08-25,0.0,2016
2016-08-26,0.0,2016
2016-08-27,0.0,2016
2016-08-28,0.0,2016
2016-08-29,0.0,2016
2016-08-30,0.0,2016
2016-08-31,0.0,2016
2016-09-01,0.0,2016
2016-09-02,0.0,2016
2016-09-03,0.0,2016
2016-09-04,0.0,2016
2016-09-05,0.0,2016
2016-09-06,0.0,2016
2016-09-07,0.0,2016
2016-09-08,0.0,2016
2016-09-09,0.0,2016
2016-09-10,0.0,2016
2016-09-11,0.0,2016
2016-09-12,0.0,2016
2016-09-13,0.0,2016
2016-09-14,0.0,2016
2016-09-15,0.0,2016
2016-09-16,0.0,2016
2016-09-17,0.0,2016
2016-09-18,0.0,2016
2016-09-19,0.0,2016
2016-09-20,0.0,2016
2016-09-21,0.0,2016
2016-09-22,0.0,2016
2016-09-23,0.0,2016
2016-09-24,0.0,2016
2016-09-25,0.0,2016
2016-09-26,0.0,2016
2016-09-27,0.0,2016
2016-09-28,0.0,2016
2016-09-29,0.0,2016
2016-09-30,0.0,2016
2016-10-01,0.0,2017
2016-10-02,0.0,2017
2016-10-03,0.0,2017
2016-10-04,0.0,2017
2016-10-05,0.0,2017
2016-10-06,0.0,2017
2016-10-07,0.0,2017
2016-10-08,0.0,2017
2016-10-09,0.0,2017
2016-10-10,0.0,2017
2016-10-11,0.0,2017
2016-10-12,0.0,2017
2016-10-13,0.0,2017
2016-10-14,0.0,2017
2016-10-15,0.0,2017
2016-10-16,0.0,2017
2016-10-17,0.0,2017
2016-10-18,0.0,2017
2016-10-19,0.0,2017
2016-10-20,0.0,2017
2016-10-21,0.0,2017
2016-10-22,0.0,2017
2016-10-23,0.0,2017
2016-10-24,0.0,2017
2016-10-25,0.0,2017
2016-10-26,0.0,2017
2016-10-27,0.0,2017
2016-10-28,0.0,2017
2016-10-29,0.0,2017
2016-10-30,0.0,2017
2016-10-31,0.0,2017
2016-11-01,0.0,2017
2016-11-02,0.0,2017
2016-11-03,0.0,2017
2016-11-04,0.0,2017
2016-11-05,0.0,2017
2016-11-06,0.0,2017
2016-11-07,0.0,2017
2016-11-08,0.0,2017
2016-11-09,0.0,2017
2016-11-10,0.0,2017
2016-11-11,0.0,2017
2016-11-12,0.0,2017
2016-11-13,0.0,2017
2016-11-14,0.0,2017
2016-11-15,0.0,2017
2016-11-16,0.0,2017
2016-11-17,0.0,2017
2016-11-18,0.0,2017
2016-11-19,0.0,2017
2016-11-20,0.0,2017
2016-11-21,0.0,2017
2016-11-22,0.007619999999999999,2017
2016-11-23,0.007619999999999999,2017
2016-11-24,0.01016,2017
2016-11-25,0.01016,2017
2016-11-26,0.01016,2017
2016-11-27,0.01016,2017
2016-11-28,0.017779999999999997,2017
2016-11-29,0.0254,2017
2016-11-30,0.0254,2017
2016-12-01,0.0254,2017
2016-12-02,0.0254,2017
2016-12-03,0.0254,2017
2016-12-04,0.0254,2017
2016-12-05,0.02794,2017
2016-12-06,0.02794,2017
2016-12-07,0.02794,2017
2016-12-08,0.02794,2017
2016-12-09,0.035559999999999994,2017
2016-12-10,0.043179999999999996,2017
2016-12-11,0.07365999999999999,2017
2016-12-12,0.07619999999999999,2017
2016-12-13,0.07619999999999999,2017
2016-12-14,0.07619999999999999,2017
2016-12-15,0.08635999999999999,2017
2016-12-16,0.09144,2017
2016-12-17,0.09652,2017
2016-12-18,0.09652,2017
2016-12-19,0.09652,2017
2016-12-20,0.09652,2017
2016-12-21,0.09652,2017
2016-12-22,0.09652,2017
2016-12-23,0.09652,2017
2016-12-24,0.09652,2017
2016-12-25,0.09652,2017
2016-12-26,0.1016,2017
2016-12-27,0.1016,2017
2016-12-28,0.10413999999999998,2017
2016-12-29,0.10413999999999998,2017
2016-12-30,0.10413999999999998,2017
2016-12-31,0.10413999999999998,2017
2017-01-01,0.10413999999999998,2017
2017-01-02,0.10413999999999998,2017
2017-01-03,0.1143,2017
2017-01-04,0.1143,2017
2017-01-05,0.14223999999999998,2017
2017-01-06,0.14223999999999998,2017
2017-01-07,0.14223999999999998,2017
2017-01-08,0.14478,2017
2017-01-09,0.15748,2017
2017-01-10,0.1651,2017
2017-01-11,0.1905,2017
2017-01-12,0.22097999999999998,2017
2017-01-13,0.22097999999999998,2017
2017-01-14,0.22097999999999998,2017
2017-01-15,0.22097999999999998,2017
2017-01-16,0.22097999999999998,2017
2017-01-17,0.22097999999999998,2017
2017-01-18,0.22097999999999998,2017
2017-01-19,0.22097999999999998,2017
2017-01-20,0.22606,2017
2017-01-21,0.22606,2017
2017-01-22,0.23367999999999997,2017
2017-01-23,0.254,2017
2017-01-24,0.26924,2017
2017-01-25,0.26924,2017
2017-01-26,0.26924,2017
2017-01-27,0.26924,2017
2017-01-28,0.26924,2017
2017-01-29,0.26924,2017
2017-01-30,0.26924,2017
2017-01-31,0.26924,2017
2017-02-01,0.26924,2017
2017-02-02,0.26924,2017
2017-02-03,0.26924,2017
2017-02-04,0.27177999999999997,2017
2017-02-05,0.27432,2017
2017-02-06,0.27432,2017
2017-02-07,0.27686,2017
2017-02-08,0.2667,2017
2017-02-09,0.26416,2017
2017-02-10,0.26416,2017
2017-02-11,0.26924,2017
2017-02-12,0.28702,2017
2017-02-13,0.28702,2017
2017-02-14,0.28702,2017
2017-02-15,0.28702,2017
2017-02-16,0.28702,2017
2017-02-17,0.28447999999999996,2017
2017-02-18,0.28193999999999997,2017
2017-02-19,0.2794,2017
2017-02-20,0.28193999999999997,2017
2017-02-21,0.27177999999999997,2017
2017-02-22,0.27686,2017
2017-02-23,0.27432,2017
2017-02-24,0.27686,2017
2017-02-25,0.27686,2017
2017-02-26,0.2794,2017
2017-02-27,0.2794,2017
2017-02-28,0.29209999999999997,2017
2017-03-01,0.29209999999999997,2017
2017-03-02,0.29209999999999997,2017
2017-03-03,0.29209999999999997,2017
2017-03-04,0.29209999999999997,2017
2017-03-05,0.29209999999999997,2017
2017-03-06,0.29463999999999996,2017
2017-03-07,0.29717999999999994,2017
2017-03-08,0.29717999999999994,2017
2017-03-09,0.29209999999999997,2017
2017-03-10,0.28193999999999997,2017
2017-03-11,0.26924,2017
2017-03-12,0.26416,2017
2017-03-13,0.25908,2017
2017-03-14,0.2413,2017
2017-03-15,0.21844,2017
2017-03-16,0.19812,2017
2017-03-17,0.17271999999999998,2017
2017-03-18,0.15239999999999998,2017
2017-03-19,0.12191999999999999,2017
2017-03-20,0.09906,2017
2017-03-21,0.07874,2017
2017-03-22,0.05334,2017
2017-03-23,0.038099999999999995,2017
2017-03-24,0.04826,2017
2017-03-25,0.030479999999999997,2017
2017-03-26,0.0254,2017
2017-03-27,0.01016,2017
2017-03-28,0.00254,2017
2017-03-29,0.0,2017
2017-03-30,0.0,2017
2017-03-31,0.0,2017
2017-04-01,0.0,2017
2017-04-02,0.0,2017
2017-04-03,0.0,2017
2017-04-04,0.0,2017
2017-04-05,0.0,2017
2017-04-06,0.0,2017
2017-04-07,0.0,2017
2017-04-08,0.0,2017
2017-04-09,0.0,2017
2017-04-10,0.0,2017
2017-04-11,0.0,2017
2017-04-12,0.0,2017
2017-04-13,0.0,2017
2017-04-14,0.0,2017
2017-04-15,0.0,2017
2017-04-16,0.0,2017
2017-04-17,0.0,2017
2017-04-18,0.0,2017
2017-04-19,0.0,2017
2017-04-20,0.0,2017
2017-04-21,0.0,2017
2017-04-22,0.0,2017
2017-04-23,0.0,2017
2017-04-24,0.0,2017
2017-04-25,0.0,2017
2017-04-26,0.0,2017
2017-04-27,0.00508,2017
2017-04-28,0.0,2017
2017-04-29,0.00254,2017
2017-04-30,0.0,2017
2017-05-01,0.0,2017
2017-05-02,0.0,2017
2017-05-03,0.0,2017
2017-05-04,0.0,2017
2017-05-05,0.0,2017
2017-05-06,0.0,2017
2017-05-07,0.0,2017
2017-05-08,0.0,2017
2017-05-09,0.0,2017
2017-05-10,0.0,2017
2017-05-11,0.0,2017
2017-05-12,0.0,2017
2017-05-13,0.0,2017
2017-05-14,0.0,2017
2017-05-15,0.0,2017
2017-05-16,0.0,2017
2017-05-17,0.0,2017
2017-05-18,0.0,2017
2017-05-19,0.0,2017
2017-05-20,0.0,2017
2017-05-21,0.0,2017
2017-05-22,0.0,2017
2017-05-23,0.0,2017
2017-05-24,0.0,2017
2017-05-25,0.0,2017
2017-05-26,0.0,2017
2017-05-27,0.0,2017
2017-05-28,0.0,2017
2017-05-29,0.0,2017
2017-05-30,0.0,2017
2017-05-31,0.0,2017
2017-06-01,0.0,2017
2017-06-02,0.0,2017
2017-06-03,0.0,2017
2017-06-04,0.0,2017
2017-06-05,0.0,2017
2017-06-06,0.0,2017
2017-06-07,0.0,2017
2017-06-08,0.0,2017
2017-06-09,0.0,2017
2017-06-10,0.0,2017
2017-06-11,0.0,2017
2017-06-12,0.0,2017
2017-06-13,0.0,2017
2017-06-14,0.0,2017
2017-06-15,0.0,2017
2017-06-16,0.0,2017
2017-06-17,0.0,2017
2017-06-18,0.0,2017
2017-06-19,0.0,2017
2017-06-20,0.0,2017
2017-06-21,0.0,2017
2017-06-22,0.0,2017
2017-06-23,0.0,2017
2017-06-24,0.0,2017
2017-06-25,0.0,2017
2017-06-26,0.0,2017
2017-06-27,0.0,2017
2017-06-28,0.0,2017
2017-06-29,0.0,2017
2017-06-30,0.0,2017
2017-07-01,0.0,2017
2017-07-02,0.0,2017
2017-07-03,0.0,2017
2017-07-04,0.0,2017
2017-07-05,0.0,2017
2017-07-06,0.0,2017
2017-07-07,0.0,2017
2017-07-08,0.0,2017
2017-07-09,0.0,2017
2017-07-10,0.0,2017
2017-07-11,0.0,2017
2017-07-12,0.0,2017
2017-07-13,0.0,2017
2017-07-14,0.0,2017
2017-07-15,0.0,2017
2017-07-16,0.0,2017
2017-07-17,0.0,2017
2017-07-18,0.0,2017
2017-07-19,0.0,2017
2017-07-20,0.0,2017
2017-07-21,0.0,2017
2017-07-22,0.0,2017
2017-07-23,0.0,2017
2017-07-24,0.0,2017
2017-07-25,0.0,2017
2017-07-26,0.0,2017
2017-07-27,0.0,2017
2017-07-28,0.0,2017
2017-07-29,0.0,2017
2017-07-30,0.0,2017
2017-07-31,0.0,2017
2017-08-01,0.0,2017
2017-08-02,0.0,2017
2017-08-03,0.0,2017
2017-08-04,0.0,2017
2017-08-05,0.0,2017
2017-08-06,0.0,2017
2017-08-07,0.0,2017
2017-08-08,0.0,2017
2017-08-09,0.0,2017
2017-08-10,0.0,2017
2017-08-11,0.0,2017
2017-08-12,0.0,2017
2017-08-13,0.0,2017
2017-08-14,0.0,2017
2017-08-15,0.0,2017
2017-08-16,0.0,2017
2017-08-17,0.0,2017
2017-08-18,0.0,2017
2017-08-19,0.0,2017
2017-08-20,0.0,2017
2017-08-21,0.0,2017
2017-08-22,0.0,2017
2017-08-23,0.0,2017
2017-08-24,0.0,2017
2017-08-25,0.0,2017
2017-08-26,0.0,2017
2017-08-27,0.0,2017
2017-08-28,0.0,2017
2017-08-29,0.0,2017
2017-08-30,0.0,2017
2017-08-31,0.0,2017
2017-09-01,0.0,2017
2017-09-02,0.0,2017
2017-09-03,0.0,2017
2017-09-04,0.0,2017
2017-09-05,0.0,2017
2017-09-06,0.0,2017
2017-09-07,0.0,2017
2017-09-08,0.0,2017
2017-09-09,0.0,2017
2017-09-10,0.0,2017
2017-09-11,0.0,2017
2017-09-12,0.0,2017
2017-09-13,0.0,2017
2017-09-14,0.0,2017
2017-09-15,0.0,2017
2017-09-16,0.0,2017
2017-09-17,0.0,2017
2017-09-18,0.0,2017
2017-09-19,0.0,2017
2017-09-20,0.0254,2017
2017-09-21,0.0,2017
2017-09-22,0.0,2017
2017-09-23,0.0,2017
2017-09-24,0.00254,2017
2017-09-25,0.00508,2017
2017-09-26,0.00254,2017
2017-09-27,0.0,2017
2017-09-28,0.0,2017
2017-09-29,0.0,2017
2017-09-30,0.0,2017
2017-10-01,0.0,2018
2017-10-02,0.0,2018
2017-10-03,0.0,2018
2017-10-04,0.0,2018
2017-10-05,0.0,2018
2017-10-06,0.0,2018
2017-10-07,0.0,2018
2017-10-08,0.0,2018
2017-10-09,0.0,2018
2017-10-10,0.0,2018
2017-10-11,0.0,2018
2017-10-12,0.0,2018
2017-10-13,0.0,2018
2017-10-14,0.0,2018
2017-10-15,0.0,2018
2017-10-16,0.0,2018
2017-10-17,0.0,2018
2017-10-18,0.0,2018
2017-10-19,0.0,2018
2017-10-20,0.0,2018
2017-10-21,0.0,2018
2017-10-22,0.0,2018
2017-10-23,0.0,2018
2017-10-24,0.0,2018
2017-10-25,0.0,2018
2017-10-26,0.0,2018
2017-10-27,0.0,2018
2017-10-28,0.0,2018
2017-10-29,0.0,2018
2017-10-30,0.0,2018
2017-10-31,0.0,2018
2017-11-01,0.0,2018
2017-11-02,0.0,2018
2017-11-03,0.0,2018
2017-11-04,0.0,2018
2017-11-05,0.0,2018
2017-11-06,0.0,2018
2017-11-07,0.0,2018
2017-11-08,0.0,2018
2017-11-09,0.0,2018
2017-11-10,0.0,2018
2017-11-11,0.0,2018
2017-11-12,0.0,2018
2017-11-13,0.0,2018
2017-11-14,0.0,2018
2017-11-15,0.0,2018
2017-11-16,0.0,2018
2017-11-17,0.0,2018
2017-11-18,0.02286,2018
2017-11-19,0.02286,2018
2017-11-20,0.02286,2018
2017-11-21,0.02286,2018
2017-11-22,0.02032,2018
2017-11-23,0.017779999999999997,2018
2017-11-24,0.015239999999999998,2018
2017-11-25,0.0127,2018
2017-11-26,0.007619999999999999,2018
2017-11-27,0.00508,2018
2017-11-28,0.01016,2018
2017-11-29,0.01016,2018
2017-11-30,0.01016,2018
2017-12-01,0.01016,2018
2017-12-02,0.01016,2018
2017-12-03,0.01016,2018
2017-12-04,0.015239999999999998,2018
2017-12-05,0.015239999999999998,2018
2017-12-06,0.015239999999999998,2018
2017-12-07,0.015239999999999998,2018
2017-12-08,0.015239999999999998,2018
2017-12-09,0.015239999999999998,2018
2017-12-10,0.015239999999999998,2018
2017-12-11,0.015239999999999998,2018
2017-12-12,0.015239999999999998,2018
2017-12-13,0.015239999999999998,2018
2017-12-14,0.017779999999999997,2018
2017-12-15,0.017779999999999997,2018
2017-12-16,0.017779999999999997,2018
2017-12-17,0.017779999999999997,2018
2017-12-18,0.017779999999999997,2018
2017-12-19,0.017779999999999997,2018
2017-12-20,0.017779999999999997,2018
2017-12-21,0.02032,2018
2017-12-22,0.02032,2018
2017-12-23,0.02032,2018
2017-12-24,0.04064,2018
2017-12-25,0.04572,2018
2017-12-26,0.04826,2018
2017-12-27,0.04826,2018
2017-12-28,0.04826,2018
2017-12-29,0.04826,2018
2017-12-30,0.04826,2018
2017-12-31,0.04826,2018
2018-01-01,0.04826,2018
2018-01-02,0.04826,2018
2018-01-03,0.04826,2018
2018-01-04,0.04826,2018
2018-01-05,0.04826,2018
2018-01-06,0.04826,2018
2018-01-07,0.05588,2018
2018-01-08,0.05588,2018
2018-01-09,0.05588,2018
2018-01-10,0.05841999999999999,2018
2018-01-11,0.06095999999999999,2018
2018-01-12,0.06858,2018
2018-01-13,0.06858,2018
2018-01-14,0.06858,2018
2018-01-15,0.06858,2018
2018-01-16,0.06858,2018
2018-01-17,0.06858,2018
2018-01-18,0.06858,2018
2018-01-19,0.06858,2018
2018-01-20,0.07111999999999999,2018
2018-01-21,0.07619999999999999,2018
2018-01-22,0.07874,2018
2018-01-23,0.07874,2018
2018-01-24,0.07874,2018
2018-01-25,0.08128,2018
2018-01-26,0.08128,2018
2018-01-27,0.08128,2018
2018-01-28,0.08381999999999999,2018
2018-01-29,0.08381999999999999,2018
2018-01-30,0.08381999999999999,2018
2018-01-31,0.08381999999999999,2018
2018-02-01,0.08128,2018
2018-02-02,0.07874,2018
2018-02-03,0.07874,2018
2018-02-04,0.07111999999999999,2018
2018-02-05,0.06604,2018
2018-02-06,0.05841999999999999,2018
2018-02-07,0.05334,2018
2018-02-08,0.05334,2018
2018-02-09,0.0508,2018
2018-02-10,0.0508,2018
2018-02-11,0.04826,2018
2018-02-12,0.04826,2018
2018-02-13,0.04572,2018
2018-02-14,0.043179999999999996,2018
2018-02-15,0.04064,2018
2018-02-16,0.04064,2018
2018-02-17,0.043179999999999996,2018
2018-02-18,0.043179999999999996,2018
2018-02-19,0.04572,2018
2018-02-20,0.04826,2018
2018-02-21,0.04826,2018
2018-02-22,0.04826,2018
2018-02-23,0.0508,2018
2018-02-24,0.0508,2018
2018-02-25,0.05334,2018
2018-02-26,0.05334,2018
2018-02-27,0.05588,2018
2018-02-28,0.05588,2018
2018-03-01,0.05588,2018
2018-03-02,0.05841999999999999,2018
2018-03-03,0.05588,2018
2018-03-04,0.05334,2018
2018-03-05,0.05841999999999999,2018
2018-03-06,0.05841999999999999,2018
2018-03-07,0.05841999999999999,2018
2018-03-08,0.05588,2018
2018-03-09,0.04826,2018
2018-03-10,0.04064,2018
2018-03-11,0.03302,2018
2018-03-12,0.0254,2018
2018-03-13,0.02032,2018
2018-03-14,0.01016,2018
2018-03-15,0.0127,2018
2018-03-16,0.01016,2018
2018-03-17,0.007619999999999999,2018
2018-03-18,0.00254,2018
2018-03-19,0.0,2018
2018-03-20,0.0,2018
2018-03-21,0.0,2018
2018-03-22,0.0,2018
2018-03-23,0.0,2018
2018-03-24,0.0,2018
2018-03-25,0.0,2018
2018-03-26,0.0,2018
2018-03-27,0.0,2018
2018-03-28,0.0,2018
2018-03-29,0.0,2018
2018-03-30,0.0,2018
2018-03-31,0.0,2018
2018-04-01,0.0,2018
2018-04-02,0.0,2018
2018-04-03,0.0,2018
2018-04-04,0.0,2018
2018-04-05,0.0,2018
2018-04-06,0.0,2018
2018-04-07,0.0,2018
2018-04-08,0.0,2018
2018-04-09,0.0,2018
2018-04-10,0.0,2018
2018-04-11,0.0,2018
2018-04-12,0.0,2018
2018-04-13,0.0,2018
2018-04-14,0.0,2018
2018-04-15,0.0,2018
2018-04-16,0.0,2018
2018-04-17,0.0,2018
2018-04-18,0.0,2018
2018-04-19,0.0,2018
2018-04-20,0.0,2018
2018-04-21,0.0,2018
2018-04-22,0.0,2018
2018-04-23,0.0,2018
2018-04-24,0.0,2018
2018-04-25,0.0,2018
2018-04-26,0.0,2018
2018-04-27,0.0,2018
2018-04-28,0.0,2018
2018-04-29,0.0,2018
2018-04-30,0.0,2018
2018-05-01,0.0,2018
2018-05-02,0.0,2018
2018-05-03,0.0,2018
2018-05-04,0.0,2018
2018-05-05,0.0,2018
2018-05-06,0.0,2018
2018-05-07,0.0,2018
2018-05-08,0.0,2018
2018-05-09,0.0,2018
2018-05-10,0.0,2018
2018-05-11,0.0,2018
2018-05-12,0.0,2018
2018-05-13,0.0,2018
2018-05-14,0.0,2018
2018-05-15,0.0,2018
2018-05-16,0.0,2018
2018-05-17,0.0,2018
2018-05-18,0.0,2018
2018-05-19,0.0,2018
2018-05-20,0.0,2018
2018-05-21,0.0,2018
2018-05-22,0.0,2018
2018-05-23,0.0,2018
2018-05-24,0.0,2018
2018-05-25,0.0,2018
2018-05-26,0.0,2018
2018-05-27,0.0,2018
2018-05-28,0.0,2018
2018-05-29,0.0,2018
2018-05-30,0.0,2018
2018-05-31,0.0,2018
2018-06-01,0.0,2018
2018-06-02,0.0,2018
2018-06-03,0.0,2018
2018-06-04,0.0,2018
2018-06-05,0.0,2018
2018-06-06,0.0,2018
2018-06-07,0.0,2018
2018-06-08,0.0,2018
2018-06-09,0.0,2018
2018-06-10,0.0,2018
2018-06-11,0.0,2018
2018-06-12,0.0,2018
2018-06-13,0.0,2018
2018-06-14,0.0,2018
2018-06-15,0.0,2018
2018-06-16,0.0,2018
2018-06-17,0.0,2018
2018-06-18,0.0,2018
2018-06-19,0.0,2018
2018-06-20,0.0,2018
2018-06-21,0.0,2018
2018-06-22,0.0,2018
2018-06-23,0.0,2018
2018-06-24,0.0,2018
2018-06-25,0.0,2018
2018-06-26,0.0,2018
2018-06-27,0.0,2018
2018-06-28,0.0,2018
2018-06-29,0.0,2018
2018-06-30,0.0,2018
2018-07-01,0.0,2018
2018-07-02,0.0,2018
2018-07-03,0.0,2018
2018-07-04,0.0,2018
2018-07-05,0.0,2018
2018-07-06,0.0,2018
2018-07-07,0.0,2018
2018-07-08,0.0,2018
2018-07-09,0.0,2018
2018-07-10,0.0,2018
2018-07-11,0.0,2018
2018-07-12,0.0,2018
2018-07-13,0.0,2018
2018-07-14,0.0,2018
2018-07-15,0.0,2018
2018-07-16,0.0,2018
2018-07-17,0.0,2018
2018-07-18,0.0,2018
2018-07-19,0.0,2018
2018-07-20,0.0,2018
2018-07-21,0.0,2018
2018-07-22,0.0,2018
2018-07-23,0.0,2018
2018-07-24,0.0,2018
2018-07-25,0.0,2018
2018-07-26,0.0,2018
2018-07-27,0.0,2018
2018-07-28,0.0,2018
2018-07-29,0.0,2018
